Running Meter (mm) ;Element;Height (mm);Materiality
1000;WE;2270;Wood frame (wood 12-15%)
1000;WE;2270;GFT Platte (plasterboard 12.5)
1000;WE;2270;Fleece
1000;WE;2270;Fabric
1000;WE;2270;PET L profile
1000;WE;2270;PE Flach-profile
1000;WE;2270;White glue (PVA)
1000;WE;2270; Plastic connector (plastic)
1000;WE;2270;Steel connectors (steel)
1000;WE;2270;Steel screw (steel)
1000;WE;2270;Steel camp (steel)
1200;WE;2270;Wood frame (wood 12-15%)
1200;WE;2270;GFT Platte (plasterboard 12.5)
1200;WE;2270;Fleece
1200;WE;2270;Fabric
1200;WE;2270;PET L profile
1200;WE;2270;PE Flach-profile
1200;WE;2270;White glue (PVA)
1200;WE;2270; Plastic connector (plastic)
1200;WE;2270;Steel connectors (steel)
1200;WE;2270;Steel screw (steel)
1200;WE;2270;Steel camp (steel)
400;WE;2270;Wood frame (wood 12-15%)
400;WE;2270;GFT Platte (plasterboard 12.5)
400;WE;2270;Fleece
400;WE;2270;Fabric
400;WE;2270;PET L profile
400;WE;2270;PE Flach-profile
400;WE;2270;White glue (PVA)
400;WE;2270; Plastic connector (plastic)
400;WE;2270;Steel connectors (steel)
400;WE;2270;Steel screw (steel)
400;WE;2270;Steel camp (steel)
600;WE;2270;Wood frame (wood 12-15%)
600;WE;2270;GFT Platte (plasterboard 12.5)
600;WE;2270;Fleece
600;WE;2270;Fabric
600;WE;2270;PET L profile
600;WE;2270;PE Flach-profile
600;WE;2270;White glue (PVA)
600;WE;2270; Plastic connector (plastic)
600;WE;2270;Steel connectors (steel)
600;WE;2270;Steel screw (steel)
600;WE;2270;Steel camp (steel)
800;WE;2270;Wood frame (wood 12-15%)
800;WE;2270;GFT Platte (plasterboard 12.5)
800;WE;2270;Fleece
800;WE;2270;Fabric
800;WE;2270;PET L profile
800;WE;2270;PE Flach-profile
800;WE;2270;White glue (PVA)
800;WE;2270; Plastic connector (plastic)
800;WE;2270;Steel connectors (steel)
800;WE;2270;Steel screw (steel)
800;WE;2270;Steel camp (steel)
1000;WE;1000;Wood frame (wood 12-15%)
1000;WE;1000;GFT Platte (plasterboard 12.5)
1000;WE;1000;Fleece
1000;WE;1000;Fabric
1000;WE;1000;PET L profile
1000;WE;1000;PE Flach-profile
1000;WE;1000;White glue (PVA)
1000;WE;1000; Plastic connector (plastic)
1000;WE;1000;Steel connectors (steel)
1000;WE;1000;Steel screw (steel)
1000;WE;1000;Steel camp (steel)
1000;WE;2470;Wood frame (wood 12-15%)
1000;WE;2470;GFT Platte (plasterboard 12.5)
1000;WE;2470;Fleece
1000;WE;2470;Fabric
1000;WE;2470;PET L profile
1000;WE;2470;PE Flach-profile
1000;WE;2470;White glue (PVA)
1000;WE;2470; Plastic connector (plastic)
1000;WE;2470;Steel connectors (steel)
1000;WE;2470;Steel screw (steel)
1000;WE;2470;Steel camp (steel)
1200;WE;2470;Wood frame (wood 12-15%)
1200;WE;2470;GFT Platte (plasterboard 12.5)
1200;WE;2470;Fleece
1200;WE;2470;Fabric
1200;WE;2470;PET L profile
1200;WE;2470;PE Flach-profile
1200;WE;2470;White glue (PVA)
1200;WE;2470; Plastic connector (plastic)
1200;WE;2470;Steel connectors (steel)
1200;WE;2470;Steel screw (steel)
1200;WE;2470;Steel camp (steel)
400;WE;2470;Wood frame (wood 12-15%)
400;WE;2470;GFT Platte (plasterboard 12.5)
400;WE;2470;Fleece
400;WE;2470;Fabric
400;WE;2470;PET L profile
400;WE;2470;PE Flach-profile
400;WE;2470;White glue (PVA)
400;WE;2470; Plastic connector (plastic)
400;WE;2470;Steel connectors (steel)
400;WE;2470;Steel screw (steel)
